INFO [2021-01-27 11:24:16,335] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Balo gù hộp xịn, siêu nhẹ  giành cho học sinh tiểu học 6-12 tuổi', itemid = '473692758', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo trẻ em', url = 'https://shopee.vn/balo-gù-hộp-xịn-siêu-nhẹ-giành-cho-học-sinh-tiểu-học-6-12-tuổi-i.33906675.473692758', best_idx_time_ytd = null, note1 = null, last_idx = null, status = 0, img = 'https://cf.shopee.vn/file/a941dc39befcdada61c7a0fa33cfa379_tn', ctime = '2021-01-21 00:18:17', countuser = 0, starttime = '2021-01-21 00:18:17', note3 = null, xint1 = null, xint2 = null, maxclick = 66, countclick = 0, best_idx = null, username = 'test1', note2 = null, xint3 = null, last_idx_time = null, best_idx_time = null, totalclick = 0, best_idx_ytd = null, price_from = 325000, scan_idx_time = null, price_to = 325000, scan_idx = null WHERE id = 24| 1 rows is updated, time=8
INFO [2021-01-27 11:24:16,522] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Balo chống gù siêu xịn đủ hình. Cho bé 7-14 tuổi. Size 35x30x15cm.', itemid = '2078400288', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo chống gù', url = 'https://shopee.vn/balo-chống-gù-siêu-xịn-đủ-hình.-cho-bé-7-14-tuổi.-size-35x30x15cm.-i.33906675.2078400288', best_idx_time_ytd = '2021-01-26 10:19:19', note1 = null, last_idx = 195, status = 1, img = 'https://cf.shopee.vn/file/d930cc7d0f1e8e7ef065af09b0baa7de_tn', ctime = '2021-01-21 01:38:52', countuser = 46, starttime = '2021-01-21 01:38:52', note3 = null, xint1 = null, xint2 = null, maxclick = 55, countclick = 46, best_idx = 195, username = 'test1', note2 = null, xint3 = null, last_idx_time = '2021-01-27 00:06:27', best_idx_time = '2021-01-27 00:06:27', totalclick = 402, best_idx_ytd = 193, price_from = 268000, scan_idx_time = '2021-01-27 11:05:46', price_to = 268000, scan_idx = 256 WHERE id = 25| 1 rows is updated, time=4
INFO [2021-01-27 11:24:16,641] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Ba lô chống gù siêu nhẹ. đủ màu, hình cho học sinh tiểu học 7-14 tuổi.', itemid = '2070839600', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo chống gù', url = 'https://shopee.vn/ba-lô-chống-gù-siêu-nhẹ.-đủ-màu-hình-cho-học-sinh-tiểu-học-7-14-tuổi.-i.33906675.2070839600', best_idx_time_ytd = '2021-01-26 22:32:59', note1 = null, last_idx = 12, status = 1, img = 'https://cf.shopee.vn/file/c2dbadc9be69827526916c05b9aab79a_tn', ctime = '2021-01-21 01:38:53', countuser = 102, starttime = '2021-01-21 01:38:53', note3 = null, xint1 = null, xint2 = null, maxclick = 554, countclick = 101, best_idx = 12, username = 'test1', note2 = null, xint3 = null, last_idx_time = '2021-01-27 11:21:34', best_idx_time = '2021-01-27 00:06:07', totalclick = 202, best_idx_ytd = -48, price_from = 268000, scan_idx_time = '2021-01-26 22:33:17', price_to = 268000, scan_idx = -48 WHERE id = 26| 1 rows is updated, time=5
INFO [2021-01-27 11:24:16,757] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Đồng hồ điện tử nam nữ SPORT AOSUN kiểu dáng thể thao, đầy đủ chức năng, chống nước tốt ( Mã: AAS01 )', itemid = '3939102438', shop = 'madeline_phukienthoitrang', shopid = '68362839', keyword = 'đồng hồ điện tử', url = 'https://shopee.vn/đồng-hồ-điện-tử-nam-nữ-sport-aosun-kiểu-dáng-thể-thao-đầy-đủ-chức-năng-chống-nước-tốt-(-mã-aas01-)-i.68362839.3939102438', best_idx_time_ytd = '2021-01-26 00:00:44', note1 = null, last_idx = 6, status = 1, img = 'https://cf.shopee.vn/file/76cea486262fc6ae3504f5ede471bbcd_tn', ctime = '2021-01-21 02:21:11', countuser = 101, starttime = '2021-01-21 02:21:11', note3 = null, xint1 = null, xint2 = null, maxclick = 556, countclick = 102, best_idx = 6, username = 'test1', note2 = null, xint3 = null, last_idx_time = '2021-01-27 11:21:23', best_idx_time = '2021-01-27 00:01:30', totalclick = 2289, best_idx_ytd = 6, price_from = 22000, scan_idx_time = '2021-01-27 10:40:54', price_to = 22000, scan_idx = 14 WHERE id = 27| 1 rows is updated, time=6
INFO [2021-01-27 11:24:16,878] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Đồng hồ điện tử nam nữ WR30 thể thao, dây trong suốt cực đẹp, kiểu mới nhất năm, full chức năng ( Mã: WR301 )', itemid = '5052522199', shop = 'madeline_phukienthoitrang', shopid = '68362839', keyword = 'đồng hồ điện tử', url = 'https://shopee.vn/đồng-hồ-điện-tử-nam-nữ-wr30-thể-thao-dây-trong-suốt-cực-đẹp-kiểu-mới-nhất-năm-full-chức-năng-(-mã-wr301-)-i.68362839.5052522199', best_idx_time_ytd = '2021-01-26 00:25:16', note1 = null, last_idx = 7, status = 1, img = 'https://cf.shopee.vn/file/4e2548e71cd5087e6cfebb1c94ffa59d_tn', ctime = '2021-01-21 02:21:11', countuser = 105, starttime = '2021-01-21 02:21:11', note3 = null, xint1 = null, xint2 = null, maxclick = 446, countclick = 107, best_idx = 6, username = 'test1', note2 = null, xint3 = null, last_idx_time = '2021-01-27 11:24:10', best_idx_time = '2021-01-27 00:04:13', totalclick = 1746, best_idx_ytd = 6, price_from = 32000, scan_idx_time = '2021-01-27 10:40:55', price_to = 32000, scan_idx = 29 WHERE id = 28| 1 rows is updated, time=4
INFO [2021-01-27 11:24:16,987] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = '[Mã WTCH27 giảm 15% đơn 99K] Đồng hồ điện tử nam nữ SPORTS thể thao cực hot, giá siêu rẻ, full chức năng ( Mã: AAS04 )', itemid = '7144839414', shop = 'madeline_phukienthoitrang', shopid = '68362839', keyword = 'đồng hồ điện tử', url = 'https://shopee.vn/đồng-hồ-điện-tử-nam-nữ-sports-thể-thao-cực-hot-giá-siêu-rẻ-full-chức-năng-(-mã-aas04-)-i.68362839.7144839414', best_idx_time_ytd = '2021-01-26 00:07:56', note1 = null, last_idx = 13, status = 1, img = 'https://cf.shopee.vn/file/46159726cf699da368fb312908401a6f_tn', ctime = '2021-01-21 02:21:12', countuser = 105, starttime = '2021-01-21 02:21:12', note3 = null, xint1 = null, xint2 = null, maxclick = 566, countclick = 107, best_idx = 12, username = 'test1', note2 = null, xint3 = null, last_idx_time = '2021-01-27 11:24:04', best_idx_time = '2021-01-27 00:01:32', totalclick = 1787, best_idx_ytd = 6, price_from = 22000, scan_idx_time = '2021-01-27 10:41:08', price_to = 23000, scan_idx = 1255 WHERE id = 29| 1 rows is updated, time=4
INFO [2021-01-27 11:24:17,404] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Nước lau sàn hữu cơ Bồ Hòn tinh dầu quế đuổi muỗi, dung tích 2 lít, thương hiệu nước lau nhà Ecocare', itemid = '2345242448', shop = 'longriver19', shopid = '92991613', keyword = 'nước lau sàn', url = 'https://shopee.vn/nước-lau-sàn-hữu-cơ-bồ-hòn-tinh-dầu-quế-đuổi-muỗi-dung-tích-2-lít-thương-hiệu-nước-lau-nhà-ecocare-i.92991613.2345242448', best_idx_time_ytd = '2021-01-26 14:41:35', note1 = null, last_idx = null, status = 1, img = 'https://cf.shopee.vn/file/fb68229ccc7ad5136a1902476336b184_tn', ctime = '2021-01-24 00:04:09', countuser = 0, starttime = '2021-01-24 00:04:09', note3 = null, xint1 = null, xint2 = null, maxclick = 500, countclick = 0, best_idx = null, username = 'test2', note2 = null, xint3 = null, last_idx_time = null, best_idx_time = null, totalclick = 85, best_idx_ytd = 159, price_from = 111860, scan_idx_time = '2021-01-26 17:45:11', price_to = 111860, scan_idx = 162 WHERE id = 30| 1 rows is updated, time=34
INFO [2021-01-27 11:24:17,661] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Nước lau sàn hữu cơ Bồ Hòn tinh dầu quế đuổi muỗi, dung tích 2 lít, thương hiệu nước lau nhà Ecocare', itemid = '2345242448', shop = 'longriver19', shopid = '92991613', keyword = 'nước lau nhà', url = 'https://shopee.vn/nước-lau-sàn-hữu-cơ-bồ-hòn-tinh-dầu-quế-đuổi-muỗi-dung-tích-2-lít-thương-hiệu-nước-lau-nhà-ecocare-i.92991613.2345242448', best_idx_time_ytd = '2021-01-26 06:40:46', note1 = null, last_idx = null, status = 1, img = 'https://cf.shopee.vn/file/fb68229ccc7ad5136a1902476336b184_tn', ctime = '2021-01-24 00:04:09', countuser = 0, starttime = '2021-01-24 00:04:09', note3 = null, xint1 = null, xint2 = null, maxclick = 500, countclick = 0, best_idx = null, username = 'test2', note2 = null, xint3 = null, last_idx_time = null, best_idx_time = null, totalclick = 469, best_idx_ytd = 3652, price_from = 111860, scan_idx_time = '2021-01-26 08:56:34', price_to = 111860, scan_idx = 3704 WHERE id = 31| 1 rows is updated, time=7
INFO [2021-01-27 11:24:17,774] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Nước lau sàn hữu cơ Bồ Hòn tinh dầu quế đuổi muỗi, dung tích 2 lít, thương hiệu nước lau nhà Ecocare', itemid = '2345242448', shop = 'longriver19', shopid = '92991613', keyword = 'nước lau sàn hữu cơ', url = 'https://shopee.vn/nước-lau-sàn-hữu-cơ-bồ-hòn-tinh-dầu-quế-đuổi-muỗi-dung-tích-2-lít-thương-hiệu-nước-lau-nhà-ecocare-i.92991613.2345242448', best_idx_time_ytd = '2021-01-26 17:20:39', note1 = null, last_idx = null, status = 1, img = 'https://cf.shopee.vn/file/fb68229ccc7ad5136a1902476336b184_tn', ctime = '2021-01-24 00:04:09', countuser = 0, starttime = '2021-01-24 00:04:09', note3 = null, xint1 = null, xint2 = null, maxclick = 500, countclick = 0, best_idx = null, username = 'test2', note2 = null, xint3 = null, last_idx_time = null, best_idx_time = null, totalclick = 218, best_idx_ytd = 21, price_from = 111860, scan_idx_time = '2021-01-26 15:49:43', price_to = 111860, scan_idx = 22 WHERE id = 32| 1 rows is updated, time=7
INFO [2021-01-27 11:24:17,926] - [BaseDAO.execSql.1104          ] - test$_ReupdateItemFromApi.main.56, exeSql=UPDATE clicktool_item SET name = 'Ba lõ chống gù siêu nhẹ giành cho hs tiểu học 6-8 tuổi', itemid = '3634421131', shop = 'capbalohs.redep', shopid = '33906675', keyword = 'balo chống gù', url = 'https://shopee.vn/ba-lõ-chống-gù-siêu-nhẹ-giành-cho-hs-tiểu-học-6-8-tuổi-i.33906675.3634421131', best_idx_time_ytd = '2021-01-26 22:33:05', note1 = null, last_idx = 646, status = 1, img = 'https://cf.shopee.vn/file/531fe0768a8669dd8b1845c75a04ae56_tn', ctime = '2021-01-24 22:00:57', countuser = 74, starttime = '2021-01-24 22:00:57', note3 = null, xint1 = null, xint2 = null, maxclick = 555, countclick = 74, best_idx = 488, username = 'test1', note2 = null, xint3 = null, last_idx_time = '2021-01-27 00:07:58', best_idx_time = '2021-01-27 02:34:14', totalclick = 230, best_idx_ytd = -42, price_from = 199000, scan_idx_time = '2021-01-27 11:05:48', price_to = 199000, scan_idx = 491 WHERE id = 33| 1 rows is updated, time=8
